valid_time,lat,lon,number,expver,sp,u10,v10,t2m,tp,Aykırı_Sütun
1988-03-01,36.79,44.56,0,1,867.0255999999999,-0.25768876,0.21022254,2.9745000000000346,8.218471999999998,tp
1988-03-01,36.54,44.56,0,1,874.1756,-0.42867875,0.25172645,3.7628400000000397,8.791869,tp
1988-03-01,36.29,44.81,0,1,888.8556,-0.16372514,-0.03519982,4.825829999999996,8.8374065,tp
1988-04-01,37.04,43.31,0,1,885.1969,-0.33296233,-0.4291901,10.286040000000014,8.131200999999999,tp
1988-04-01,37.04,43.56,0,1,878.8869,-0.26734954,-0.6005463,9.839500000000044,8.707101,tp
1988-04-01,37.04,43.81,0,1,877.6669,-0.26200897,-0.7057709,9.707670000000007,8.7003065,tp
1990-02-01,37.04,43.56,0,1,877.985,-0.5105076,-0.97901917,-0.6138699999999631,8.144073,tp
1990-04-01,37.29,43.56,0,1,831.36625,0.12757182,-0.10481548,6.92960000000005,8.453142999999999,tp
1990-04-01,37.29,43.81,0,1,829.83625,0.022225142,-0.08809185,6.975500000000011,8.53504,tp
1990-04-01,37.29,44.06,0,1,826.05125,-0.004569292,0.027112007,6.734770000000026,8.503688,tp
1992-02-01,37.79,43.31,0,1,740.83875,0.043601036,1.0923893,-9.973969999999952,8.228867000000001,tp
1992-02-01,37.29,44.81,0,1,790.20875,1.2074194,0.8527042,-7.030129999999986,8.545964,tp
1992-02-01,36.79,43.31,0,1,937.25875,-1.2231226,-0.6376522,1.2560000000000286,8.634656,tp
1992-02-01,36.29,44.06,0,1,951.79375,-1.2806177,0.73869056,3.5362800000000334,8.382647,tp
1992-12-01,37.29,44.06,0,1,827.00125,-0.270154,-0.75279903,-5.144869999999969,8.185163000000001,tp
1992-12-01,37.04,43.81,0,1,879.43625,-0.30683613,-1.0606909,-1.7708499999999958,8.438125,tp
1992-12-01,37.04,44.06,0,1,881.68625,-0.30091572,-1.0037146,-1.1644000000000005,8.431211,tp
1992-12-01,36.79,44.06,0,1,925.47625,-0.40339375,-0.93425655,2.590000000000032,8.108749999999999,tp
1992-12-01,36.54,44.56,0,1,877.44625,-0.8380251,0.029976845,1.073880000000031,8.137837,tp
1992-12-01,36.54,44.81,0,1,846.47625,-0.42445087,-0.008749962,-1.072119999999984,8.205429,tp
1999-02-01,37.29,44.31,0,1,809.5575,0.07819319,-0.0035811663,-2.4002399999999966,8.117526999999999,tp
2000-01-01,37.29,43.81,0,1,829.35875,-0.19935417,-0.9051428,-6.339200000000005,8.182004999999998,tp
2000-01-01,37.29,44.06,0,1,825.45375,-0.21851921,-0.7664099,-6.265969999999982,8.349852,tp
2000-01-01,37.29,44.31,0,1,808.24875,-0.23896599,-0.47795773,-6.003269999999986,8.155779,tp
2000-01-01,37.04,43.81,0,1,877.78875,-0.2837658,-1.1512365,-2.546729999999968,8.232192,tp
2000-01-01,36.54,44.81,0,1,844.93375,-0.49641228,0.03846073,-2.0428199999999492,8.179143999999999,tp
2001-12-01,36.54,44.81,0,1,848.6356,-0.3174219,0.020029068,2.4149400000000014,8.425124,tp
2002-01-01,36.54,44.81,0,1,847.2056,-0.52454567,-0.18457508,-2.6238799999999856,8.5737,tp
2002-01-01,36.29,44.81,0,1,893.0206,-0.56324196,-0.5585375,0.49526000000003023,8.394528,tp
2002-12-01,37.04,43.56,0,1,880.52,-0.44264126,-0.9252157,-2.701999999999998,8.376655,tp
2002-12-01,37.04,43.81,0,1,879.245,-0.35130215,-1.0308981,-2.8621599999999603,8.770403,tp
2002-12-01,37.04,44.06,0,1,881.52,-0.38755703,-0.97529507,-2.43295999999998,8.516607,tp
2002-12-01,36.79,44.06,0,1,925.25,-0.5128622,-0.86692715,1.4171400000000176,8.31407,tp
2002-12-01,36.54,44.81,0,1,846.395,-0.40125942,0.05610752,-1.7986799999999903,8.355913,tp
2002-12-01,36.29,44.81,0,1,892.265,-0.55787563,-0.32340908,1.3561000000000263,8.412417999999999,tp
2006-04-01,37.29,43.31,0,1,836.8781,-0.40421677,-0.41750985,9.208640000000003,8.50342,tp
2006-04-01,37.04,43.31,0,1,883.5980999999999,-0.595623,-0.4023121,13.044579999999996,8.157594000000001,tp
2006-04-01,37.04,43.56,0,1,877.3781,-0.37949753,-0.51592904,12.709130000000016,8.637888,tp
2006-04-01,37.04,43.81,0,1,876.1731,-0.29874802,-0.55914193,12.646140000000003,8.310777999999999,tp
2009-03-01,37.29,44.06,0,1,825.1519000000001,-0.065289915,-0.256903,1.376860000000022,8.114144999999999,tp
2010-01-01,37.54,43.31,0,1,779.395,-0.3500538,0.23057735,-2.4815399999999954,8.616677,tp
2010-01-01,37.54,43.56,0,1,774.535,-0.016008377,0.19322383,-2.787939999999992,8.497229,tp
2010-01-01,37.29,44.31,0,1,811.915,-0.027116776,-0.07942021,-0.8218799999999646,8.666267999999999,tp
2010-01-01,37.04,43.56,0,1,881.99,-0.5794239,-0.7680799,3.674220000000048,8.287182000000001,tp
2010-01-01,37.04,43.81,0,1,880.75,-0.36451912,-0.8137952,3.604880000000037,8.422842,tp
2010-01-01,37.04,44.06,0,1,883.01,-0.2782154,-0.787428,3.7618700000000445,8.533707,tp
2012-02-01,37.29,43.31,0,1,836.3231,-0.5266714,-0.657012,-4.477639999999951,8.398488,tp
2012-02-01,37.29,43.56,0,1,830.5980999999999,-0.29168606,-0.7804861,-4.994730000000004,8.322552,tp
2012-02-01,37.29,43.81,0,1,829.0381,-0.19665432,-0.837554,-5.2423,8.396462,tp
2012-02-01,37.29,44.06,0,1,825.1481,-0.21227932,-0.7113943,-5.553319999999985,8.7034255,tp
2012-02-01,37.29,44.31,0,1,807.9830999999999,-0.2452383,-0.39285183,-5.408299999999997,8.502081,tp
2012-02-01,37.04,44.06,0,1,879.6331,-0.3502798,-1.1011038,-2.048439999999971,8.315757,tp
2012-02-01,37.04,44.31,0,1,871.7531,-0.5145254,-0.80032253,-1.3863299999999867,8.311703999999999,tp
2016-03-01,36.54,44.81,0,1,845.13375,0.11060828,0.30667144,6.444000000000017,8.549625,tp
2016-12-01,37.29,43.81,0,1,832.58625,-0.16577399,-0.80526644,-5.070899999999995,8.114608,tp
