valid_time,latitude,longitude,number,expver,sp,u10,v10,t2m,tp,lat,lon,Aykırı_Sütun
1946-08-01,36.79,44.81,0,1,824.0156,-1.839488,-1.1315708,21.179830000000038,0.0023543835,36.79,44.81,u10
1946-08-01,36.54,44.81,0,1,841.4256,-1.5568953,-1.0072117,23.386870000000044,0.0007748604,36.54,44.81,u10
1946-08-01,36.29,44.81,0,1,882.6605999999999,-1.5398664,-1.0841465,26.857079999999996,0.0,36.29,44.81,u10
1949-06-01,36.29,43.31,0,1,969.67,1.3253613,-0.47594023,30.785060000000044,0.0,36.29,43.31,u10
1949-07-01,36.29,43.31,0,1,964.7094000000001,1.6220014,-0.22997141,33.955700000000036,0.0,36.29,43.31,u10
1949-07-01,36.29,43.56,0,1,964.2694,1.2941206,-0.1391511,34.01016000000004,0.0,36.29,43.56,u10
1949-09-01,36.29,43.31,0,1,972.5644,1.4271443,-0.47241217,26.205470000000048,0.0,36.29,43.31,u10
1950-02-01,36.29,44.06,0,1,952.4275,-1.5545368,0.22619057,2.3385300000000484,4.483674,36.29,44.06,u10
1950-10-01,37.29,44.81,0,1,798.1256,1.3056475,1.0837452,9.588530000000048,1.2153869,37.29,44.81,u10
1951-06-01,36.29,43.31,0,1,966.72125,1.7098062,-0.26316684,31.654930000000036,0.07583405,36.29,43.31,u10
1951-06-01,36.29,43.56,0,1,966.26625,1.3787515,-0.1893143,31.59146000000004,0.09460951,36.29,43.56,u10
1951-07-01,36.54,43.31,0,1,952.27375,1.2806339,0.15676731,33.76138000000003,0.0,36.54,43.31,u10
1951-07-01,36.29,43.31,0,1,964.63375,1.8471622,0.09756321,34.73843000000005,0.0,36.29,43.31,u10
1951-07-01,36.29,43.56,0,1,964.19875,1.4913883,0.23489231,34.74526000000003,0.0,36.29,43.56,u10
1952-02-01,37.29,44.81,0,1,790.77,1.2968063,1.0949321,-2.659999999999968,6.775621,37.29,44.81,u10
1952-03-01,37.54,44.81,0,1,799.46875,1.2976794,1.1719134,-0.627049999999997,2.916572,37.54,44.81,u10
1952-03-01,37.29,44.81,0,1,790.37875,1.4060168,1.1441424,-1.3235799999999927,4.0551396,37.29,44.81,u10
1953-01-01,37.79,44.31,0,1,757.9269,1.2641888,1.008255,-7.447360000000003,0.96867234,37.79,44.31,u10
1953-01-01,37.79,44.56,0,1,783.2069,1.2553387,0.85536194,-4.846299999999985,0.7433668,37.79,44.56,u10
1953-02-01,37.79,44.56,0,1,780.4875,1.3249168,1.1412663,-3.8196800000000053,2.2293762,37.79,44.56,u10
1953-02-01,37.54,44.81,0,1,799.4525,1.3017235,1.2923284,-2.625599999999963,2.7853684,37.54,44.81,u10
1953-02-01,37.29,44.81,0,1,790.3425,1.4078026,1.1618352,-3.5330599999999777,5.1349835,37.29,44.81,u10
1953-06-01,36.29,43.31,0,1,966.0619,1.3767228,0.27290386,30.327300000000037,0.033180797,36.29,43.31,u10
1953-12-01,36.29,44.06,0,1,954.1675,-1.4644823,-0.5023651,3.3566000000000145,2.2270367,36.29,44.06,u10
1954-01-01,37.79,44.31,0,1,753.51375,1.3081589,1.4097638,-10.29061999999999,3.2598382999999997,37.79,44.31,u10
1954-01-01,37.79,44.56,0,1,778.98375,1.4899826,1.1039166,-9.642920000000004,2.4003393,37.79,44.56,u10
1954-01-01,37.79,44.81,0,1,811.88875,1.4826584,0.9497419,-8.388530000000003,1.1052496,37.79,44.81,u10
1954-01-01,37.54,44.56,0,1,771.68375,1.285881,1.2533917,-9.025729999999953,4.751862,37.54,44.56,u10
1954-01-01,37.54,44.81,0,1,798.18875,1.5065842,1.2640119,-8.096299999999985,2.8178103,37.54,44.81,u10
1954-01-01,37.29,44.81,0,1,789.00375,1.4800949,1.1799054,-7.9439499999999725,5.839766,37.29,44.81,u10
1954-05-01,37.54,44.81,0,1,804.1169,1.275882,0.94380814,11.592430000000036,0.6865192,37.54,44.81,u10
1954-05-01,37.29,44.81,0,1,795.2269,1.3625519,0.84294754,10.451800000000048,0.47772416,37.29,44.81,u10
1955-02-01,37.79,44.06,0,1,749.7019,1.3435131,0.7997807,-3.494479999999953,1.4520825,37.79,44.06,u10
1955-02-01,37.79,44.31,0,1,758.5719,1.5451123,1.0159978,-2.428079999999966,0.9540261,37.79,44.31,u10
1955-02-01,37.79,44.56,0,1,783.5169000000001,1.4368359,0.9179143,-0.23422999999996819,0.6478966700000001,37.79,44.56,u10
1955-02-01,37.79,44.81,0,1,815.7819000000001,1.2681347,0.82742965,2.0609400000000164,0.24747266,37.79,44.81,u10
1955-02-01,37.54,44.56,0,1,776.3269,1.338142,0.9899663,-1.38534999999996,1.6065778,37.54,44.56,u10
1955-02-01,37.54,44.81,0,1,802.3419,1.4412915,1.065955,0.5716800000000148,0.9506882600000001,37.54,44.81,u10
1955-02-01,37.29,44.81,0,1,793.2669000000001,1.4072338,0.9769658,-0.4034199999999828,2.5507153,37.29,44.81,u10
1955-04-01,37.79,44.31,0,1,760.8444000000001,1.3174787,1.2760725,3.797020000000032,2.2049232,37.79,44.31,u10
