valid_time;t2m
1.02.1973 00:00;273,0756836
1.03.1973 00:00;275,8078613
1.04.1973 00:00;280,7202148
1.05.1973 00:00;288,190918
1.06.1973 00:00;293,9609375
1.07.1973 00:00;299,5351562
1.08.1973 00:00;300,8295898
1.09.1973 00:00;295,1574707
1.10.1973 00:00;288,3068848
1.11.1973 00:00;275,8913574
1.12.1973 00:00;271,7624512
1.01.1974 00:00;269,4790039
1.02.1974 00:00;270,3200684
1.03.1974 00:00;278,3369141
1.04.1974 00:00;280,7536621
1.05.1974 00:00;289,6828613
1.06.1974 00:00;296,541748
1.07.1974 00:00;299,8276367
1.08.1974 00:00;298,6604004
1.09.1974 00:00;292,7397461
1.10.1974 00:00;290,1242676
1.11.1974 00:00;280,2856445
1.12.1974 00:00;271,857666
1.01.1975 00:00;270,2258301
1.02.1975 00:00;270,7851562
1.03.1975 00:00;275,9755859
1.04.1975 00:00;283,8920898
1.05.1975 00:00;287,7924805
1.06.1975 00:00;294,9892578
1.07.1975 00:00;300,3054199
1.08.1975 00:00;299,8657227
1.09.1975 00:00;294,1782227
1.10.1975 00:00;285,637207
1.11.1975 00:00;279,4682617
1.12.1975 00:00;269,9538574
1.01.1976 00:00;270,8212891
1.02.1976 00:00;269,2814941
1.03.1976 00:00;274,9560547
1.04.1976 00:00;280,7453613
1.05.1976 00:00;286,1567383
1.06.1976 00:00;293,4499512
1.07.1976 00:00;297,6459961
1.08.1976 00:00;299,7241211
1.09.1976 00:00;293,3134766
1.10.1976 00:00;286,4355469
1.11.1976 00:00;280,3400879
1.12.1976 00:00;274,8166504
1.01.1977 00:00;267,1855469
1.02.1977 00:00;275,5258789
1.03.1977 00:00;277,1386719
1.04.1977 00:00;282,8718262
1.05.1977 00:00;287,8405762
1.06.1977 00:00;294,4326172
1.07.1977 00:00;299,3049316
1.08.1977 00:00;300,0585938
1.09.1977 00:00;295,503418
1.10.1977 00:00;284,9360352
1.11.1977 00:00;279,4104004
1.12.1977 00:00;271,7148438
1.01.1978 00:00;272,625
1.02.1978 00:00;275,4501953
1.03.1978 00:00;278,1870117
1.04.1978 00:00;281,9042969
1.05.1978 00:00;288,8103027
1.06.1978 00:00;293,2246094
1.07.1978 00:00;300,4509277
1.08.1978 00:00;298,4377441
1.09.1978 00:00;294,5788574
1.10.1978 00:00;288,2568359
1.11.1978 00:00;274,8618164
1.12.1978 00:00;274,3383789
1.01.1979 00:00;273,0925293
1.02.1979 00:00;276,104248
1.03.1979 00:00;277,6010742
1.04.1979 00:00;283,2636719
1.05.1979 00:00;288,4023438
1.06.1979 00:00;293,5549316
1.07.1979 00:00;298,777832
1.08.1979 00:00;299,8337402
1.09.1979 00:00;295,6494141
1.10.1979 00:00;286,3337402
1.11.1979 00:00;281,4963379
1.12.1979 00:00;272,4082031
1.01.1980 00:00;269,1166992
1.02.1980 00:00;272,4089355
1.03.1980 00:00;276,0373535
1.04.1980 00:00;281,5180664
1.05.1980 00:00;288,21875
1.06.1980 00:00;295,6911621
1.07.1980 00:00;301,4616699
1.08.1980 00:00;299,7275391
1.09.1980 00:00;293,4938965
1.10.1980 00:00;286,3996582
1.11.1980 00:00;279,5678711
1.12.1980 00:00;274,0368652
1.01.1981 00:00;271,5878906
1.02.1981 00:00;273,5959473
1.03.1981 00:00;277,8571777
1.04.1981 00:00;281,0117188
1.05.1981 00:00;285,5588379
1.06.1981 00:00;293,5727539
1.07.1981 00:00;300,1418457
1.08.1981 00:00;299,541748
1.09.1981 00:00;295,3322754
1.10.1981 00:00;287,8942871
1.11.1981 00:00;276,779541
1.12.1981 00:00;275,7756348
1.01.1982 00:00;270,296875
1.02.1982 00:00;267,1484375
1.03.1982 00:00;274,5092773
1.04.1982 00:00;283,0336914
1.05.1982 00:00;288,0739746
1.06.1982 00:00;293,7290039
1.07.1982 00:00;297,5358887
1.08.1982 00:00;297,9538574
1.09.1982 00:00;294,371582
1.10.1982 00:00;284,8120117
1.11.1982 00:00;276,4724121
1.12.1982 00:00;270,2775879
1.01.1983 00:00;266,3061523
1.02.1983 00:00;269,628418
