valid_time;u10
1.08.1975 00:00:00;-0,0279230
1.09.1975 00:00:00;-0,1595215
1.10.1975 00:00:00;-0,3157160
1.11.1975 00:00:00;-0,6178537
1.12.1975 00:00:00;-1,0780363
1.01.1976 00:00:00;-1,0463400
1.02.1976 00:00:00;-0,7853809
1.03.1976 00:00:00;-0,7891202
1.04.1976 00:00:00;-0,7683163
1.05.1976 00:00:00;-0,3717217
1.06.1976 00:00:00;-0,0954466
1.07.1976 00:00:00;0,1928917
1.08.1976 00:00:00;-0,1161874
1.09.1976 00:00:00;-0,0430958
1.10.1976 00:00:00;-0,3661526
1.11.1976 00:00:00;-0,6697351
1.12.1976 00:00:00;-0,9730310
1.01.1977 00:00:00;-0,9173956
1.02.1977 00:00:00;-0,9277010
1.03.1977 00:00:00;-0,8200827
1.04.1977 00:00:00;-0,5926393
1.05.1977 00:00:00;-0,2446249
1.06.1977 00:00:00;-0,0603521
1.07.1977 00:00:00;0,1410273
1.08.1977 00:00:00;0,0133622
1.09.1977 00:00:00;-0,0885459
1.10.1977 00:00:00;-0,2924750
1.11.1977 00:00:00;-0,4828572
1.12.1977 00:00:00;-0,9994717
1.01.1978 00:00:00;-0,9222870
1.02.1978 00:00:00;-0,8423243
1.03.1978 00:00:00;-0,8530608
1.04.1978 00:00:00;-0,4884222
1.05.1978 00:00:00;-0,0693440
1.06.1978 00:00:00;0,0727839
1.07.1978 00:00:00;-0,1158732
1.08.1978 00:00:00;-0,0966718
1.09.1978 00:00:00;-0,0552368
1.10.1978 00:00:00;-0,5095771
1.11.1978 00:00:00;-0,6774783
1.12.1978 00:00:00;-0,9478512
1.01.1979 00:00:00;-0,8748779
1.02.1979 00:00:00;-0,7050363
1.03.1979 00:00:00;-0,7182988
1.04.1979 00:00:00;-0,4858113
1.05.1979 00:00:00;-0,4981719
1.06.1979 00:00:00;-0,1328620
1.07.1979 00:00:00;0,1845474
1.08.1979 00:00:00;-0,1790525
1.09.1979 00:00:00;-0,3481103
1.10.1979 00:00:00;-0,5084708
1.11.1979 00:00:00;-0,7896261
1.12.1979 00:00:00;-0,8955545
1.01.1980 00:00:00;-0,8347662
1.02.1980 00:00:00;-0,8626852
1.03.1980 00:00:00;-0,7336817
1.04.1980 00:00:00;-0,6530930
1.05.1980 00:00:00;-0,2999158
1.06.1980 00:00:00;0,1435246
1.07.1980 00:00:00;-0,1216123
1.08.1980 00:00:00;-0,0047721
1.09.1980 00:00:00;-0,1048437
1.10.1980 00:00:00;-0,2290273
1.11.1980 00:00:00;-0,5151473
1.12.1980 00:00:00;-0,9415512
1.01.1981 00:00:00;-1,1094341
1.02.1981 00:00:00;-0,8098707
1.03.1981 00:00:00;-0,6047737
1.04.1981 00:00:00;-0,5253482
1.05.1981 00:00:00;-0,3557652
1.06.1981 00:00:00;-0,1463585
1.07.1981 00:00:00;0,1696271
1.08.1981 00:00:00;0,0583437
1.09.1981 00:00:00;-0,1699646
1.10.1981 00:00:00;-0,5194115
1.11.1981 00:00:00;-0,7319009
1.12.1981 00:00:00;-0,7875271
1.01.1982 00:00:00;-0,9292192
1.02.1982 00:00:00;-1,0521021
1.03.1982 00:00:00;-0,6697112
1.04.1982 00:00:00;-0,7762503
1.05.1982 00:00:00;-0,3409880
1.06.1982 00:00:00;0,0933674
1.07.1982 00:00:00;0,0653185
1.08.1982 00:00:00;0,1642762
1.09.1982 00:00:00;-0,1271742
1.10.1982 00:00:00;-0,3773663
1.11.1982 00:00:00;-0,5774263
1.12.1982 00:00:00;-0,9770050
1.01.1983 00:00:00;-0,9650335
1.02.1983 00:00:00;-0,9101830
1.03.1983 00:00:00;-0,8234444
1.04.1983 00:00:00;-0,3776673
1.05.1983 00:00:00;-0,4281180
1.06.1983 00:00:00;0,0822855
1.07.1983 00:00:00;0,1497249
1.08.1983 00:00:00;-0,0090606
1.09.1983 00:00:00;-0,0229757
1.10.1983 00:00:00;-0,5325411
1.11.1983 00:00:00;-0,8426971
1.12.1983 00:00:00;-0,6093627
1.01.1984 00:00:00;-0,8455123
1.02.1984 00:00:00;-0,8423466
1.03.1984 00:00:00;-0,6473513
1.04.1984 00:00:00;-0,6179380
1.05.1984 00:00:00;-0,2773246
1.06.1984 00:00:00;0,0462890
1.07.1984 00:00:00;-0,0930556
1.08.1984 00:00:00;0,0096017
1.09.1984 00:00:00;-0,2508144
1.10.1984 00:00:00;-0,3735561
1.11.1984 00:00:00;-0,5030590
1.12.1984 00:00:00;-0,7860308
1.01.1985 00:00:00;-0,7948771
1.02.1985 00:00:00;-0,6915627
1.03.1985 00:00:00;-0,9303318
1.04.1985 00:00:00;-0,5713261
1.05.1985 00:00:00;-0,3162417
1.06.1985 00:00:00;0,1794306
1.07.1985 00:00:00;0,1022286
1.08.1985 00:00:00;-0,0315466
1.09.1985 00:00:00;-0,1660227
1.10.1985 00:00:00;-0,4482242
1.11.1985 00:00:00;-0,5554329
1.12.1985 00:00:00;-0,8919067
1.01.1986 00:00:00;-0,9968100
1.02.1986 00:00:00;-0,8222895
1.03.1986 00:00:00;-0,4617114
1.04.1986 00:00:00;-0,4477125
1.05.1986 00:00:00;-0,5251231
1.06.1986 00:00:00;0,0345257
1.07.1986 00:00:00;-0,1027449
1.08.1986 00:00:00;-0,0887367
1.09.1986 00:00:00;-0,3296436
1.10.1986 00:00:00;-0,5546997
1.11.1986 00:00:00;-0,7046536
1.12.1986 00:00:00;-0,9179831
1.01.1987 00:00:00;-1,0616102
1.02.1987 00:00:00;-0,8722754
1.03.1987 00:00:00;-0,7547352
1.04.1987 00:00:00;-0,6531838
1.05.1987 00:00:00;-0,2066630
1.06.1987 00:00:00;-0,0223160
1.07.1987 00:00:00;-0,0216743
1.08.1987 00:00:00;-0,0616827
1.09.1987 00:00:00;-0,2110336
1.10.1987 00:00:00;-0,4331562
1.11.1987 00:00:00;-0,7238123
1.12.1987 00:00:00;-0,9025240
1.01.1988 00:00:00;-0,9068317
1.02.1988 00:00:00;-1,0504522
1.03.1988 00:00:00;-0,7517920
1.04.1988 00:00:00;-0,6441497
1.05.1988 00:00:00;-0,1063926
1.06.1988 00:00:00;-0,0628952
1.07.1988 00:00:00;-0,0913604
1.08.1988 00:00:00;-0,1403227
1.09.1988 00:00:00;-0,1076842
1.10.1988 00:00:00;-0,6193064
1.11.1988 00:00:00;-0,7198702
1.12.1988 00:00:00;-0,8326979
1.01.1989 00:00:00;-1,0619421
1.02.1989 00:00:00;-0,8797255
1.03.1989 00:00:00;-0,6216575
1.04.1989 00:00:00;-0,4701468
1.05.1989 00:00:00;-0,1717189
1.06.1989 00:00:00;0,0382184
1.07.1989 00:00:00;-0,1332576
1.08.1989 00:00:00;-0,1338711
1.09.1989 00:00:00;-0,1141867
1.10.1989 00:00:00;-0,5690951
1.11.1989 00:00:00;-0,6905992
1.12.1989 00:00:00;-0,7727073
1.01.1990 00:00:00;-0,8705893
1.02.1990 00:00:00;-0,8347464
1.03.1990 00:00:00;-0,5702231
1.04.1990 00:00:00;-0,3860940
1.05.1990 00:00:00;-0,3056701
1.06.1990 00:00:00;0,0888898
1.07.1990 00:00:00;-0,1549301
1.08.1990 00:00:00;-0,1285835
1.09.1990 00:00:00;-0,1551492
1.10.1990 00:00:00;-0,4599853
1.11.1990 00:00:00;-0,7323554
1.12.1990 00:00:00;-0,7742758
1.01.1991 00:00:00;-0,8832159
1.02.1991 00:00:00;-1,0449076
1.03.1991 00:00:00;-0,6558060
1.04.1991 00:00:00;-0,5332850
1.05.1991 00:00:00;0,0160416
1.06.1991 00:00:00;-0,1754174
1.07.1991 00:00:00;-0,0215046
1.08.1991 00:00:00;-0,1957326
1.09.1991 00:00:00;-0,1448462
1.10.1991 00:00:00;-0,4149137
1.11.1991 00:00:00;-0,6556455
1.12.1991 00:00:00;-0,9803467
1.01.1992 00:00:00;-0,9384298
1.02.1992 00:00:00;-0,8339005
1.03.1992 00:00:00;-0,7930803
1.04.1992 00:00:00;-0,4382530
1.05.1992 00:00:00;-0,3587199
1.06.1992 00:00:00;-0,2140276
1.07.1992 00:00:00;0,0219098
1.08.1992 00:00:00;-0,1361628
1.09.1992 00:00:00;-0,2370495
1.10.1992 00:00:00;-0,3687000
1.11.1992 00:00:00;-0,7048321
1.12.1992 00:00:00;-0,9720097
1.01.1993 00:00:00;-0,9195032
1.02.1993 00:00:00;-0,8660469
1.03.1993 00:00:00;-0,8275373
1.04.1993 00:00:00;-0,7001473
1.05.1993 00:00:00;-0,4936102
1.06.1993 00:00:00;0,0208908
1.07.1993 00:00:00;0,0041657
1.08.1993 00:00:00;-0,1596524
1.09.1993 00:00:00;-0,2123765
1.10.1993 00:00:00;-0,3462556
1.11.1993 00:00:00;-0,4946783
1.12.1993 00:00:00;-0,6392463
1.01.1994 00:00:00;-0,7658272
1.02.1994 00:00:00;-0,8889240
1.03.1994 00:00:00;-0,8154955
1.04.1994 00:00:00;-0,5196396
1.05.1994 00:00:00;-0,3328338
1.06.1994 00:00:00;0,0862109
1.07.1994 00:00:00;0,0445191
1.08.1994 00:00:00;-0,0335216
1.09.1994 00:00:00;-0,3512802
1.10.1994 00:00:00;-0,4154707
1.11.1994 00:00:00;-0,6514521
1.12.1994 00:00:00;-1,0543270
1.01.1995 00:00:00;-0,8578278
1.02.1995 00:00:00;-0,7231806
1.03.1995 00:00:00;-0,7125922
1.04.1995 00:00:00;-0,5538872
1.05.1995 00:00:00;-0,3467156
1.06.1995 00:00:00;0,0863794
1.07.1995 00:00:00;0,0109226
1.08.1995 00:00:00;-0,1170149
1.09.1995 00:00:00;-0,2503941
1.10.1995 00:00:00;-0,3884559
1.11.1995 00:00:00;-0,7798457
1.12.1995 00:00:00;-0,8024815
1.01.1996 00:00:00;-0,9875793
1.02.1996 00:00:00;-0,9032137
1.03.1996 00:00:00;-0,7861156
1.04.1996 00:00:00;-0,6204773
1.05.1996 00:00:00;-0,3590932
1.06.1996 00:00:00;0,0748546
