valid_time;v10
1.10.2007 00:00:00;-0,0919725
1.11.2007 00:00:00;0,1090154
1.12.2007 00:00:00;0,0104618
1.01.2008 00:00:00;-0,0714998
1.02.2008 00:00:00;-0,0557616
1.03.2008 00:00:00;0,4082251
1.04.2008 00:00:00;0,0664074
1.05.2008 00:00:00;0,2298877
1.06.2008 00:00:00;-0,1933775
1.07.2008 00:00:00;0,2001993
1.08.2008 00:00:00;0,3448114
1.09.2008 00:00:00;0,3263059
1.10.2008 00:00:00;-0,0591921
1.11.2008 00:00:00;-0,1019809
1.12.2008 00:00:00;0,0334730
1.01.2009 00:00:00;-0,0634050
1.02.2009 00:00:00;0,3669612
1.03.2009 00:00:00;0,3684804
1.04.2009 00:00:00;0,2239647
1.05.2009 00:00:00;0,2199901
1.06.2009 00:00:00;-0,0542698
1.07.2009 00:00:00;-0,1076328
1.08.2009 00:00:00;0,2785045
1.09.2009 00:00:00;0,0971789
1.10.2009 00:00:00;-0,1216515
1.11.2009 00:00:00;0,1837785
1.12.2009 00:00:00;0,1911682
1.01.2010 00:00:00;0,4812046
1.02.2010 00:00:00;0,3231783
1.03.2010 00:00:00;0,2281325
