valid_time,latitude,longitude,number,expver,tp
1940-01-01 06:00:00,36.54,43.31,0,0001,0.002395015
1940-01-01 06:00:00,36.54,43.56,0,0001,0.0027034094
1940-01-01 06:00:00,36.54,43.81,0,0001,0.0034069826
1940-01-01 06:00:00,36.54,44.06,0,0001,0.0044774823
1940-01-01 06:00:00,36.54,44.31,0,0001,0.005415302
1940-01-01 06:00:00,36.54,44.56,0,0001,0.0068312697
1940-01-01 06:00:00,36.54,44.81,0,0001,0.0077847056
1940-01-01 06:00:00,36.29,43.31,0,0001,0.0018616726
1940-01-01 06:00:00,36.29,43.56,0,0001,0.0021362116
1940-01-01 06:00:00,36.29,43.81,0,0001,0.0025250723
1940-01-01 06:00:00,36.29,44.06,0,0001,0.003455024
1940-01-01 06:00:00,36.29,44.31,0,0001,0.004437428
1940-01-01 06:00:00,36.29,44.56,0,0001,0.0056942515
1940-01-01 06:00:00,36.29,44.81,0,0001,0.006944876
1940-02-01 06:00:00,37.79,43.31,0,0001,0.0024038209
1940-02-01 06:00:00,37.79,43.56,0,0001,0.0023722304
1940-02-01 06:00:00,37.79,43.81,0,0001,0.002309884
1940-02-01 06:00:00,37.79,44.06,0,0001,0.002202834
1940-02-01 06:00:00,37.79,44.31,0,0001,0.0018931283
1940-02-01 06:00:00,37.79,44.56,0,0001,0.001612748
1940-02-01 06:00:00,37.79,44.81,0,0001,0.0011636866
1940-02-01 06:00:00,37.54,43.31,0,0001,0.003434862
1940-02-01 06:00:00,37.54,43.56,0,0001,0.003490056
1940-02-01 06:00:00,37.54,43.81,0,0001,0.0035766019
1940-02-01 06:00:00,37.54,44.06,0,0001,0.003820504
1940-02-01 06:00:00,37.54,44.31,0,0001,0.0033939732
1940-02-01 06:00:00,37.54,44.56,0,0001,0.0030209674
1940-02-01 06:00:00,37.54,44.81,0,0001,0.0024623526
1940-02-01 06:00:00,37.29,43.31,0,0001,0.004086579
1940-02-01 06:00:00,37.29,43.56,0,0001,0.0041305674
1940-02-01 06:00:00,37.29,43.81,0,0001,0.0042552603
1940-02-01 06:00:00,37.29,44.06,0,0001,0.0046038283
1940-02-01 06:00:00,37.29,44.31,0,0001,0.0047481908
1940-02-01 06:00:00,37.29,44.56,0,0001,0.0044632806
1940-02-01 06:00:00,37.29,44.81,0,0001,0.0038019074
1940-02-01 06:00:00,37.04,43.31,0,0001,0.0041157855
1940-02-01 06:00:00,37.04,43.56,0,0001,0.004744257
1940-02-01 06:00:00,37.04,43.81,0,0001,0.0051409854
1940-02-01 06:00:00,37.04,44.06,0,0001,0.005703057
1940-02-01 06:00:00,37.04,44.31,0,0001,0.005559529
1940-02-01 06:00:00,37.04,44.56,0,0001,0.0050230874
1940-02-01 06:00:00,37.04,44.81,0,0001,0.0044346703
1940-02-01 06:00:00,36.79,43.31,0,0001,0.0028887643
1940-02-01 06:00:00,36.79,43.56,0,0001,0.003674711
1940-02-01 06:00:00,36.79,43.81,0,0001,0.004794444
1940-02-01 06:00:00,36.79,44.06,0,0001,0.0055597676
1940-02-01 06:00:00,36.79,44.31,0,0001,0.0058816327
1940-02-01 06:00:00,36.79,44.56,0,0001,0.0060090674
1940-02-01 06:00:00,36.79,44.81,0,0001,0.0060364855
1940-02-01 06:00:00,36.54,43.31,0,0001,0.002234186
